Location	LatLong	Curvature	Stop	Mode	Notes
Melbourne	"-37.811838, 144.958352"	0.1	2	1	
Perth	"-31.953571, 115.858510"	0.1	2	1	
Denpasar	"-8.669797, 115.213963"	0.3	3	0	
Legian	"-8.705871, 115.169556"	0.3	0	0	
Celuk Village	"-8.600245, 115.269529"	-0.3	1	0	Gold and Silver Smiths
Mas Village	"-8.542227, 115.269338"	-0.3	1	0	Wood Carving
Ubud	"-8.497664, 115.263293"	-0.3	1	0	
Legian	"-8.705871, 115.169556"	-0.2	3	0	
Pura Goa Lawah	"-8.550964, 115.468941"	-0.3	1	0	Bat Cave
Pura Agung Besakih	"-8.374623, 115.449951"	-0.3	1	0	
Klungkung	"-8.538713, 115.402058"	-0.3	1	0	Taman Kertha Gosa Royal Compound
Legian	"-8.705871, 115.169556"	0.3	3	3	
Goa Gajah	"-8.523413, 115.287153"	-0.3	1	3	Simons Volcanic Tour
Penelokan	"-8.257368, 115.335948"	-0.3	1	3	
Trunyan	"-8.251655, 115.426242"	-0.3	1	3	Interesting Graveyard
Batur Natural Hot Spring	"-8.251358, 115.400107"	-0.3	1	3	
Mount Batur	"-8.239700, 115.377319"	-0.3	1	3	
Penelokan	"-8.257368, 115.335948"	0.3	3	3	
Singaraja	"-8.115147, 115.091198"	0.3	1	3	
Lovina Beach	"-8.162791, 115.023263"	0.3	1	3	
Air Sanih	"-8.077773, 115.216954"	0.3	1	3	Natural Spring and Pool
Beratan	"-8.279813, 115.165532"	-0.2	1	3	Lake Temples
Legian	"-8.705871, 115.169556"	0.3	3	6	
Uluwatu	"-8.829134, 115.084909"	-0.2	1	6	Ancient Hindu Temple
Nusa Dua	"-8.794739, 115.232447"	0.3	1	6	Beach
Legian	"-8.705871, 115.169556"	0.2	3	6	
Tanah Lot	"-8.621233, 115.086803"	0.2	1	6	Island Temple
Legian	"-8.705871, 115.169556"	0.3	3	6	
Denpasar	"-8.669797, 115.213963"	0.3	1	6	
Legian	"-8.705871, 115.169556"	0.2	3	0	
Sanur	"-8.704258, 115.262184"	0.2	1	0	
Legian	"-8.705871, 115.169556"	0.3	2	6	
Denpasar	"-8.669797, 115.213963"	-0.1	3	3	
Gilimanuk	"-8.161005, 114.436795"	-0.1	2	3	
Yogyakarta	"-7.787593, 110.372672"	0.3	0	3	
Borobudur	"-7.607842, 110.203773"	0.3	1	3	
Yogyakarta	"-7.787593, 110.372672"	0.3	3	3	
Prambanan Temple	"-7.751989, 110.491467"	0.3	1	3	
Yogyakarta	"-7.787593, 110.372672"	-0.1	3	1	
Denpasar	"-8.669797, 115.213963"	0.3	3	0	
Legian	"-8.705871, 115.169556"	0.3	2	0	
Denpasar	"-8.669797, 115.213963"	0.1	2	1	
Melbourne	"-37.811838, 144.958352"	0.3	2	0	
