Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	1	
Sydney	-33.939914, 151.175287	0.05	2	1	
Denpasar	-8.669797, 115.213963	0.3	2	0	
Legian	-8.705871, 115.169556	0.3	0	3	Went on Simons Volcanic tour again
Celuk Village	-8.600245, 115.269529	-0.3	1	3	Gold and Silver Smiths
Mas Village	-8.542227, 115.269338	0.3	1	3	Wood Carving
Goa Gajah	-8.523413, 115.287153	-0.3	1	3	Elephant Cave
Penelokan	-8.257368, 115.335948	-0.3	1	3	
Singaraja	-8.115147, 115.091198	0.3	1	3	
Lovina Beach	-8.162791, 115.023263	0.3	1	3	
Beratan	-8.279813, 115.165532	-0.2	1	3	Lake Temples
Legian	-8.705871, 115.169556	0.3	3	0	
Denpasar	-8.669797, 115.213963	0.1	3	1	
Jakarta	-6.137955, 106.848977	0.1	0	1	
Singapore	1.354541, 103.854563	0.05	0	1	
Sydney	-33.939914, 151.175287	0.3	3	1	
Canberra	-35.355434, 149.066050	0.3	3	0	
