Location	LatLong	Curvature	Stop	Mode	Notes
Sydney	-33.939914, 151.175287	0.1	2	1	
Singapore	1.355914, 103.865550	0.3	0	3	
Melaka	2.194996, 102.250538	0.3	0	3	
Kuala Lumpur	3.141743, 101.678614	0.3	0	3	
Penang	5.414830, 100.325103	0.2	0	1	
Medan	3.595685, 98.668118	0.3	2	3	
Lake Toba	2.628402, 98.790176	0.3	0	3	
Medan	3.595685, 98.668118	0.2	3	1	
Penang	5.414830, 100.325103	0.3	3	2	
Songkhla	7.190452, 100.596641	0.3	2	3	
Phuket	7.883361, 98.393287	0.3	0	3	
Bangkok	13.760578, 100.540405	-0.2	0	1	
Rangoon	16.884290, 96.188567	-0.3	0	2	
Lake Inle	20.564815, 96.916052	-0.3	0	2	
Mandalay	21.963591, 96.090242	-0.3	0	1	
Pagan	21.172026, 94.858822	-0.3	0	1	
Rangoon	16.884290, 96.188567	0.2	3	1	
Kathmandu	27.717770, 85.323729	0.3	0	1	
Everest	27.987811, 86.924983	0.3	1	1	
Kathmandu	27.717770, 85.323729	0.3	3	3	
Pokhara	28.241501, 83.996098	0.3	0	3	
Sonauli	27.474190, 83.467169	0.3	2	3	
Varanasi	25.318884, 82.974284	0.3	0	3	
Khajuraho	24.831986, 79.920752	0.3	0	3	Erotic Temple Carvings Galore!
Agra	27.177073, 78.008163	0.3	0	2	
Jaipur	26.913668, 75.788496	0.3	0	2	
Pushkar	26.490029, 74.551260	0.3	0	2	
Chittorgarh	24.880947, 74.624681	0.3	0	2	Chittorgarh Fort
Udaipur	24.585962, 73.711864	0.2	0	1	
Aurangabad	19.875571, 75.342622	0.2	0	3	
Ajanta Caves	20.551530, 75.707375	0.2	1	3	Richly decorated caves dating from 2nd & 1st centuries BC
Aurangabad	19.875571, 75.342622	0.3	3	3	
Ellora Caves	20.029365, 75.177173	0.3	1	3	Historical rock-cut architecture
Aurangabad	19.875571, 75.342622	0.2	3	3	
Goa	15.492645, 73.833621	0.3	0	3	
Mangalore	12.915286, 74.853804	0.3	1	3	
Cochin	9.933171, 76.268240	0.3	1	3	
Trivandrum	8.523834, 76.925733	-0.3	0	1	Kovalam Beach
Colombo	6.926829, 79.863340	0.3	0	3	
Hikkaduwa	6.146479, 80.110864	0.3	0	3	
Galle	6.054030, 80.221095	0.3	0	3	
Matara	5.955065, 80.555297	0.3	0	3	
Tangalle	6.029020, 80.784896	0.3	0	3	
Arugam Bay	6.845540, 81.831869	0.2	0	3	
Kalkudah	7.922486, 81.553706	0.2	0	3	
Arugam Bay	6.845540, 81.831869	-0.3	3	3	
Haputale	6.768240, 80.956728	-0.3	2	3	
Kandy	7.290799, 80.633849	0.3	2	3	
Colombo	6.926829, 79.863340	0.2	3	1	
Bangkok	13.760578, 100.540405	0.2	2	2	
Chaing Mai	18.709813, 98.975531	0.2	0	2	
Bangkok	13.760578, 100.540405	0.3	3	2	
River Kwai	14.317125, 98.970601	0.3	1	2	
Bangkok	13.760578, 100.540405	-0.3	3	2	
Ko Samui	9.458163, 100.041843	0.25	0	3	
Kuala Lumpur	3.141743, 101.678614	0.3	1	3	
Singapore	1.355914, 103.865550	0.1	2	1	
Sydney	-33.939914, 151.175287	0.0	2	0	
