Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.268152, 149.129653"	0.3	2	0	
Sydney	"-33.856339, 151.217294"	-0.2	1	0	
Noosa	"-26.398012, 153.063495"	0.3	0	0	
Rainbow Beach	"-25.881201, 153.082460"	0.3	1	0	
Fraser Island	"-25.234493, 153.151124"	-0.35	1	0	
Noosa	"-26.398012, 153.063495"	0.3	3	0	
Rockhampton	"-23.378212, 150.508505"	0.3	2	0	
Mackay	"-21.130699, 149.202662"	0.3	2	0	
Airlie Beach	"-20.265183, 148.715733"	0.3	0	0	
Hamilton Island	"-20.343843, 148.952545"	0.3	1	0	
Airlie Beach	"-20.265183, 148.715733"	0.3	3	0	
Barrier Reef Tour	"-19.793244, 149.170867"	0.3	1	0	
Airlie Beach	"-20.265183, 148.715733"	0.3	3	0	
Whitehaven Beach	"-20.260314, 149.028045"	0.3	1	0	
Airlie Beach	"-20.265183, 148.715733"	0.3	3	0	
Townsville	"-19.288511, 146.760179"	0.3	0	0	
Magnetic Island	"-19.130109, 146.846517"	0.3	1	0	
Townsville	"-19.288511, 146.760179"	0.3	3	0	
Mission Beach	"-17.930275, 146.074410"	0.3	1	0	
Cairns	"-16.921967, 145.768387"	0.3	0	0	
Atherton Tablelands	"-17.262489, 145.472512"	0.3	1	0	
Cairns	"-16.921967, 145.768387"	-0.5	3	0	
Townsville	"-19.288511, 146.760179"	-0.2	2	0	
Sunshine Coast	"-26.654395, 153.085881"	-0.2	0	0	
Canberra	"-35.268152, 149.129653"	0.3	2	0	
