Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.355434, 149.066050"	0.3	2	0	
Sydney	"-33.939914, 151.175287"	0.1	2	1	
Honolulu	"21.306807, 202.142407"	0.2	0	1	
Pearl Harbor	"21.353417, 202.020094"	0.2	1	0	
Honolulu	"21.306807, 202.142407"	0.2	0	1	
Hanauma Bay	"21.269659, 202.306859"	0.3	1	0	
Halona Blow Hole	"21.282662, 202.322852"	-0.3	1	0	
Pali Lookout	"21.365440, 202.203973"	-0.3	1	0	
Kaneohe Bay	"21.459257, 202.158128"	-0.3	1	0	Chinamans Hat
Waimea Bay	"21.640717, 201.936856"	-0.3	1	0	
Dole Plantation	"21.526985, 201.962434"	-0.3	1	0	
Honolulu	"21.306807, 202.142407"	-0.3	3	100	
Honolulu	"21.306807, -157.857593"	0.1	2	1	
Los Angeles	"33.943476, -118.409313"	0.3	0	3	
San Jose	"37.337343, -121.897069"	0.3	0	0	
Carmel-By-The-Sea	"36.550791, -121.929040"	0.3	1	0	
San Jose	"37.337343, -121.897069"	-0.2	3	0	
Yosemite National Park	"37.740884, -119.598259"	0.3	1	0	
General Grant Grove	"36.747023, -118.977774"	0.2	1	0	Giant Redwoods
San Jose	"37.337343, -121.897069"	-0.45	3	0	
Napa Valley	"38.296430, -122.289501"	0.3	1	0	
San Jose	"37.337343, -121.897069"	0.2	3	2	
San Francisco	"37.774509, -122.423569"	0.3	1	4	
Sausalito	"37.859092, -122.484944"	0.3	1	4	
San Francisco	"37.774509, -122.423569"	0.2	1	2	
San Jose	"37.337343, -121.897069"	0.1	3	1	
New York City	"40.712332, -74.009596"	0.1	0	1	
London	"51.468053, -0.081152"	0.3	0	3	
Paris	"48.861477, 2.346826"	0.3	0	5	
Chartres	"48.443779, 1.488663"	0.3	1	5	Chartres Cathedral - half-timbered houses
Château de Chambord	"47.616112, 1.517197"	-0.3	1	5	
Chateau de Fougeres-sur-Bievre	"48.349553, -1.210353"	0.3	1	5	
Mont Saint-Michel	"48.636031, -1.511125"	0.2	1	5	
Cape Frehel	"48.630788, -2.366664"	0.3	1	5	
Ploumanac'h	"48.837458, -3.484099"	0.3	1	5	Lighthouse
Trégastel	"48.817002, -3.514733"	0.3	1	5	Dolmen (burial chamber)
Morlaix	"48.580548, -3.829748"	0.3	1	5	Viaduct
Saint-Thégonnec	"48.521442, -3.945489"	0.3	1	5	Parish Close (Calvary and Triumphal Arch)
Guimiliau	"48.487549, -3.999391"	0.3	1	5	Parish Close (Calvary)
Carnac	"47.592507, -3.082877"	0.3	1	5	Menhir Line
Grande Brière	"47.373964, -2.232152"	0.3	1	5	Marsh
Château de Serrant	"47.414663, -0.750882"	0.3	1	5	
Château de Angers	"47.477817, -0.562741"	0.3	1	5	
La Fosse-de-Tigné	"47.182387, -0.427973"	0.3	1	5	Troglodyte Homes
Château de Saumur	"47.257025, -0.072436"	0.3	1	5	
Château de Chinon	"47.164125, 0.235015"	0.3	1	5	
Château de Azay-le-Rideau	"47.258990, 0.465859"	0.3	1	5	
Château de Villandry	"47.339853, 0.514272"	0.3	1	5	
Château d'Amboise	"47.412997, 0.984326"	0.3	1	5	Also Château du Clos Lucé
Château de Chenonceau	"47.324870, 1.070279"	0.3	1	5	
Blois	"47.585364, 1.330556"	0.3	1	5	Château de Blois & Town
Sarlat-la-Canéda	"44.891052, 1.217083"	0.3	1	5	
La Roque-Gageac	"44.825009, 1.184754"	0.3	1	5	Stone Houses
Grottes de Lacave	"44.843693, 1.556891"	0.3	1	5	
Rocamadour	"44.798580, 1.617732"	0.3	1	5	
Najac	"44.218457, 1.977708"	0.3	1	5	Old Town
Albi	"43.927870, 2.147014"	0.3	1	5	Cathedral and Bridge
Toulouse	"43.655683, 1.422157"	0.3	1	5	
Lourdes	"43.097120, -0.040365"	0.3	1	5	
Loarre Castle	"42.322151, -0.633627"	0.2	1	5	
Burgos	"42.355015, -3.577008"	-0.3	1	5	
Salamanca	"40.988754, -5.669638"	0.3	1	5	University, Cathedral, Plaza Mayor & Monastery
Avila	"40.657427, -4.704567"	0.3	1	5	
Segovia	"40.941458, -4.120574"	0.3	1	5	Alcazar and Roman Aqueduct
Madrid	"40.432972, -3.710795"	0.3	0	5	
Toledo	"39.855605, -4.010734"	0.3	1	5	
Tembleque	"39.693917, -3.505368"	0.3	1	5	Plaza Mayor
Consuegra	"39.461573, -3.613156"	0.3	1	5	Windmills
Almagro	"38.891131, -3.727370"	0.3	1	5	Plaza Mayor
