Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.355434, 149.066050"	0.3	2	1	
Sydney	"-33.939914, 151.175287"	0.1	2	1	
Paris	"48.861477, 2.346826"	0.2	0	1	
Geneva	"46.197486, 6.133328"	0.2	2	2	
Lausanne	"46.531544, 6.626127"	0.2	2	2	
Remaufens	"46.530696, 6.878019"	0.2	0	0	
Gruyères	"46.579575, 7.058534"	0.2	1	0	
Remaufens	"46.530696, 6.878019"	0.2	3	0	
Lausanne	"46.531544, 6.626127"	0.2	3	2	
Geneva	"46.197486, 6.133328"	0.2	3	2	Train - plane cancelled
Paris	"48.861477, 2.346826"	0.3	3	5	
Limoges	"45.835794, 1.251413"	0.3	1	5	
Roquefort	"44.035589, -0.347097"	0.3	1	5	
Mont-de-Marsan	"43.888854, -0.495414"	-0.2	1	5	
Biarritz	"43.491654, -1.550101"	0.3	1	5	
Altamira	"43.053670, -2.172391"	-0.2	1	5	
Santillana del Mar	"43.388580, -4.104600"	-0.2	1	5	
Santiago de Compostela	"42.886727, -8.533044"	0.3	1	5	
Braga	"41.545983, -8.425670"	0.3	1	5	
Amarante	"41.272590, -8.079515"	0.3	1	5	
Douro	"41.310268, -7.763808"	0.3	1	5	Sandeman Port Winery
Furadouro	"40.068968, -8.496425"	0.3	1	5	
Torreira	"40.762549, -8.705628"	0.3	1	5	
Aveiro	"40.638459, -8.647068"	-0.3	1	5	Salt flats
Murtosa	"40.739657, -8.638101"	-0.3	1	5	
Praia da Barra	"40.632397, -8.745217"	-0.3	1	5	
Aveiro	"40.638459, -8.647068"	0.3	1	5	
Coimbra	"40.202531, -8.421956"	-0.3	1	5	S. Sebastiao Aqueduct + Old University
Conimbriga	"40.099552, -8.490129"	-0.3	1	5	Large Roman Settlement
Pombal	"39.917334, -8.632393"	0.3	1	5	Castle of Pombal
Leiria	"39.749894, -8.806202"	0.3	1	5	Medieval Castle
Batalha	"39.658365, -8.823425"	-0.2	1	5	Monastery of Batalha
Nazare	"39.602985, -9.066911"	-0.3	1	5	
Alcobaça	"39.549074, -8.972657"	-0.3	1	5	Santa Maria Monastery
Cruz da Légua	"39.597253, -8.875153"	-0.3	1	5	
Batalha	"39.658365, -8.823425"	0.3	1	5	
Mira de Aire	"39.540269, -8.710358"	0.2	1	5	Caves
Tomar	"39.605446, -8.401388"	0.3	1	5	Convent of Christ
Almoural Castle	"39.468392, -8.382162"	0.2	1	5	
Caldas Da Rainha	"39.403768, -9.136019"	0.3	1	5	
Obidos	"39.359307, -9.163516"	0.3	1	5	Castelo and the medieval wall of its historic quarter.
Mafra	"38.947083, -9.331588"	0.3	1	5	Palacio Nacional de Mafra
Lisbon	"38.721367, -9.164046"	0.3	1	5	
Queluz	"38.761311, -9.250121"	0.3	1	5	Royal Palace and Gardens
Lisbon	"38.721367, -9.164046"	-0.2	1	5	
Evora	"38.573427, -7.915488"	0.3	1	5	Cathedral Cloisters
Algarve	"37.247915, -8.392875"	-0.2	1	5	
Seville	"37.389308, -6.037905"	-0.3	1	5	
Algeciras	"36.136488, -5.465331"	0.3	2	4	
Ceuta	"35.892908, -5.319639"	-0.3	2	5	
Tetouan	"35.580789, -5.358091"	0.3	2	5	
Chefchaouen	"35.168720, -5.253721"	0.3	0	5	Medina
Quezzane	"34.798578, -5.580888"	0.3	1	5	
Souk-El-Arbaa	"34.678956, -5.990128"	0.3	1	5	
Sidi Kacem	"34.225994, -5.715470"	-0.3	1	5	
Meknes	"33.868702, -5.539689"	0.3	0	5	Medina
Volubilis	"34.072281, -5.553765"	0.3	1	5	
Fes	"34.018231, -5.007882"	0.3	0	5	
Ziz Canyon	"32.152940, -4.351105"	0.3	1	5	
Erfoud	"31.433933, -4.235749"	-0.3	1	5	
Todra Gorge	"31.522944, -5.526643"	0.3	1	5	
Dadès Gorges	"31.457365, -5.960603"	0.3	1	5	
Zagora	"30.345025, -5.839753"	0.3	1	5	
Draa Valley	"30.666854, -6.394562"	0.3	1	5	
Marrakesh	"31.639934, -7.993073"	0.3	0	5	
Casablanca	"33.615188, -7.482209"	-0.3	2	5	
Rabat	"34.007701, -6.861481"	0.2	0	5	
Chefchaouen	"35.168720, -5.253721"	0.4	2	5	Medina
Ceuta	"35.892908, -5.319639"	0.3	3	4	
Algeciras	"36.136488, -5.465331"	0.3	3	5	
Nerja Caves	"36.762158, -3.868138"	-0.3	1	5	
Granada	"37.176822, -3.597087"	0.3	2	5	
Zaragoza	"41.663764, -0.888957"	0.2	2	5	
Poblet	"41.386554, 1.082622"	0.3	1	5	
Albi	"43.927036, 2.153789"	-0.2	2	5	
Paris	"48.861477, 2.346826"	0.2	3	1	
Sydney	"-33.939914, 151.175287"	0.1	3	1	
Canberra	"-35.355434, 149.066050"	0.3	3	0	
