Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	1	
Sydney	-33.939914, 151.175287	0.05	2	1	
Denpasar	-8.669797, 115.213963	0.3	2	0	
Sanur	-8.702958, 115.257193	0.3	0	0	
Ubud	-8.508323, 115.264624	0.3	1	0	
Sanur	-8.702958, 115.257193	-0.1	3	0	
Legian	-8.705871, 115.169556	0.1	1	0	
Kuta	-8.723863, 115.174880	-0.1	1	0	
Sanur	-8.702958, 115.257193	0.1	3	4	
Lombok	-8.576499, 116.099605	0.1	0	4	
Sanur	-8.702958, 115.257193	0.3	3	0	
Denpasar	-8.669797, 115.213963	0.05	2	1	
Sydney	-33.939914, 151.175287	0.3	2	1	
Canberra	-35.355434, 149.066050	0.3	2	0	
