Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.355434, 149.066050"	0.05	2	1	
Melbourne	"-37.814965, 144.934998"	0.05	2	1	
Hobart	"-42.881884, 147.326492"	0.3	0	0	
Richmond	"-42.740859, 147.421830"	0.3	1	0	
Hobart	"-42.881884, 147.326492"	-0.3	3	0	
Hastings Caves	"-43.415166, 146.873934"	0.3	1	0	
Snug Falls	"-43.079305, 147.207201"	0.3	1	0	
Hobart	"-42.881884, 147.326492"	0.3	3	0	
Port Arthur	"-43.138006, 147.851368"	0.3	1	0	
Devils Kitchen	"-43.043736, 147.951618"	0.3	1	0	
Tessellated Pavement	"-43.008598, 147.933765"	0.3	1	0	
Spiky Bridge	"-42.185946, 148.065488"	-0.3	1	0	
Campbell Town	"-41.930166, 147.497745"	0.3	1	0	
Ross	"-42.030212, 147.494998"	0.4	1	0	
Gordon Dam	"-42.736212, 145.976994"	-0.2	1	0	
Glen Derwent	"-42.773566, 147.055032"	0.2	1	0	
Cadbury Factory	"-42.789916, 147.248998"	-0.2	1	0	
Russel Falls	"-42.679441, 146.710269"	-0.3	1	0	
Lake St. Claire	"-42.116628, 146.178612"	0.3	1	0	
Franklin River	"-42.186577, 145.939589"	-0.3	1	0	
Nelson Falls	"-42.103639, 145.736069"	0.3	1	0	
Queenstown	"-42.082219, 145.558543"	0.3	1	0	
Strahan	"-42.150471, 145.315471"	-0.3	1	0	
Henty Dunes	"-42.065882, 145.281695"	-0.3	1	0	
Tullah	"-41.737538, 145.614383"	-0.2	2	0	
Stanley	"-40.760256, 145.292728"	-0.2	1	0	The Nut
Penguin	"-41.107570, 146.069474"	0.3	1	0	
Cradle Mountain	"-41.582166, 145.929990"	-0.2	1	0	
Devonport	"-41.181688, 146.352298"	0.3	1	0	
King Solomons Cave	"-41.552196, 146.248430"	0.3	1	0	
Marakoopa Cave	"-41.578141, 146.288942"	-0.3	1	0	
Devonport	"-41.181688, 146.352298"	0.3	3	0	
Liffey Falls	"-41.676262, 146.750626"	0.3	1	0	
Launceston	"-41.436483, 147.139194"	-0.05	1	0	
Melbourne	"-37.814965, 144.934998"	0.05	2	1	
Canberra	"-35.355434, 149.066050"	0.0	2	0	
