Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Wellington Caves	-32.625059, 148.940844	0.3	1	0	
Dubbo	-32.229862, 148.639847	0.3	0	0	Dubbo Zoo
Coonabarabran	-31.275045, 149.070034	0.3	1	0	Siding Spring Observatory
Walgett	-30.025034, 148.108997	0.3	2	0	
Lightning Ridge	-29.433540, 147.999134	0.3	1	0	
St. George	-28.027058, 148.592396	-0.3	2	0	
Noosaville	-26.399284, 153.053615	-0.3	0	0	
Gold Coast	-28.017248, 153.398746	-0.3	0	0	
Coffs Harbour	-30.299055, 153.110094	0.2	2	0	
Canberra	-35.355434, 149.066050	0.3	2	0	
