Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.1	2	1	
Cairns	-16.919925, 145.771499	0.3	0	0	
Palm Cove	-16.743788, 145.667129	0.2	0	7	Took Skyrail Rainfoest Cableway
Kuranda	-16.820304, 145.634021	0.2	1	2	Scenic Railway
Palm Cove	-16.743788, 145.667129	0.3	3	0	
Port Douglas	-16.485207, 145.464607	0.3	1	0	Mossman Gorge
Palm Cove	-16.743788, 145.667129	-0.3	3	0	
Undara	-18.265029, 144.551791	-0.3	1	0	Undara Lava Tubes and Bluff walk
Atherton	-17.268073, 145.485629	-0.3	1	0	
Milla Milla Falls	-17.494474, 145.609433	0.3	1	0	
Zillie Falls	-17.475765, 145.657041	0.3	1	0	
Ellinjaa Falls	-17.494103, 145.655668	0.3	1	0	
Crawford’s Lookout	-17.604796, 145.767154	0.3	1	0	
Innisfail	-17.522915, 146.029203	0.3	1	0	
Mission Beach	-17.869360, 146.106112	0.3	1	0	
Josephine Falls	-17.431645, 145.860844	-0.3	1	0	Rainforest Walk to Falls
Babinda Boulders	-17.341513, 145.869461	0.3	1	0	
Curtain Fig Tree	-17.285258, 145.576600	0.3	1	0	
Lake Barrine	-17.249195, 145.646638	0.3	1	0	1100 year old twin Kauri Pines
Heales Lookout	-17.212905, 145.698646	0.4	1	0	
Palm Cove	-16.743788, 145.667129	0.3	0	0	
Daintree	-16.249594, 145.316327	0.3	1	0	
Cape Tribulation	-16.086031, 145.461419	-0.2	1	0	
Port Douglas	-16.485207, 145.464607	0.3	2	0	
Palm Cove	-16.743788, 145.667129	0.3	3	0	
Cairns	-16.919925, 145.771499	0.1	2	1	
Sydney	-33.939914, 151.175287	0.3	2	0	
Canberra	-35.355434, 149.066050	0.3	2	0	
