Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.355434, -210.93395"	0.3	2	0	
Sydney	"-33.939914, -208.824713"	0.1	2	1	
Honolulu	"21.306095, -157.864559"	0.2	0	0	
Pearl Harbor	"21.353417, -157.979906"	0.2	1	0	
Honolulu	"21.306095, -157.864559"	0.2	3	0	
Hanauma Bay	"21.269659, -157.693141"	0.3	1	0	
Halona Blow Hole	"21.282662, -157.677148"	-0.3	1	0	
Pali Lookout	"21.365440, -157.796027"	-0.3	1	0	
Kaneohe Bay	"21.459257, -157.841872"	-0.3	1	0	Chinamans Hat
Waimea Bay	"21.640717, -158.063144"	-0.3	1	0	
Dole Plantation	"21.526985, -158.037566"	0.3	2	0	
Honolulu	"21.306807, -157.857593"	0.1	3	1	
Kailua-Kona	"19.642029, -155.998348"	0.3	1	0	
Kealakekua Bay	"19.482728, -155.926491"	-0.2	1	0	Captain Cook Monument
Volcano	"19.426288, -155.235156"	0.2	0	0	
Volcanoes National Park	"19.429378, -155.257204"	0.2	1	0	
Volcano	"19.426288, -155.235156"	0.3	3	0	
Thurston Lava Tube	"19.429378, -155.257204"	0.3	1	0	
Volcano	"19.426288, -155.235156"	0.2	3	0	
Akatsuka Orchid Gardens	"19.447980, -155.182113"	0.2	1	0	
Volcano	"19.426288, -155.235156"	-0.2	3	0	
Hilo	"19.721272, -155.066287"	0.2	2	0	
Rainbow Falls	"19.719161, -155.109476"	0.3	1	0	
Peepee Falls	"19.716050, -155.132821"	0.3	1	0	
Hilo	"19.721272, -155.066287"	-0.2	3	0	
Akaka falls	"19.854960, -155.156233"	-0.3	1	0	
Waimea	"20.023753, -155.668247"	0.3	2	0	
Waikoloa	"19.944194, -155.788209"	0.3	1	0	
Kailua-Kona	"19.642029, -155.998348"	0.2	3	1	
Honolulu	"21.306095, -157.864559"	0.2	2	1	
Lihue	"21.983057, -159.342715"	0.2	2	0	
Koloa	"21.903762, -159.466311"	0.2	0	0	
Port Allen	"21.901214, -159.587160"	0.2	3	0	
Waimea Canyon	"22.030484, -159.672304"	0.2	1	0	
Port Allen	"21.901214, -159.587160"	0.2	3	0	
Koloa	"21.903762, -159.466311"	0.2	3	0	
Lihue	"21.983057, -159.342715"	-0.7	3	0	
Hanalei	"22.206688, -159.495150"	0.6	1	0	
Lihue	"21.983057, -159.342715"	0.2	3	0	
Koloa	"21.903762, -159.466311"	0.2	3	0	
Port Allen	"21.901214, -159.587160"	0.8	2	4	
Nā Pali Coast Sailing Tour	"22.176806, -159.663378"	-0.9	1	4	
Port Allen	"21.901214, -159.587160"	0.2	3	0	
Lihue	"21.983057, -159.342715"	0.2	3	1	
Honolulu	"21.306095, -157.864559"	0.05	2	1	
Sydney	"-33.939914, -208.824713"	0.3	2	1	
Canberra	"-35.355434, -210.93395"	0.0	2	0	
