Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.05	2	1	
Nadi	-17.777390, 177.434665	0.3	1	0	Club Fiji Resort
Garden of the Sleeping Giant	-17.710697, 177.468691	0.3	1	0	
Nadi	-17.777390, 177.434665	0.3	3	0	
Rakiraki	-17.359751, 178.153825	0.3	2	0	
Suva	-18.123597, 178.442661	0.1	1	0	
Sigatoka Sand Dunes	-18.163690, 177.480352	0.1	1	0	
Nadi	-17.777390, 177.434665	0.1	3	1	
Savusavu	-16.779492, 179.339420	0.1	0	1	
Nadi	-17.777390, 177.434665	0.05	2	1	
Sydney	-33.939914, 151.175287	0.3	2	0	
Canberra	-35.355434, 149.066050	0.3	2	0	
