Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.1	2	1	
Darwin	-12.462770, 130.845417	0.05	0	1	
Ho Chi Minh City	10.832784, 106.632531	0.3	0	0	
Mekong Delta	10.021598, 106.282796	0.3	1	0	
Ho Chi Minh City	10.832784, 106.632531	0.3	3	0	
Mui Ne	10.954643, 108.235541	0.3	0	0	
Fairy Stream	10.950981, 108.256382	0.3	1	0	
White Sand Dunes	11.065875, 108.427888	0.3	1	0	
Mui Ne	10.954643, 108.235541	0.3	3	0	
Saigon	10.832784, 106.632531	0.05	3	1	
Darwin	-12.462770, 130.845417	0.1	2	1	
Sydney	-33.939914, 151.175287	0.3	2	0	
Canberra	-35.355434, 149.066050	0.0	2	0	
