Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.1	2	1	
Kuala Lumpur	3.141743, 101.678614	0.1	2	1	
Colombo	6.926829, 79.863340	-0.2	0	2	
Anuradhapura	8.353663, 80.402167	0.3	1	3	
Dambulla	7.897869, 80.676554	-0.3	1	0	
Polonnaruwa	7.932752, 81.003141	-0.3	1	0	
Sigiriya	7.954338, 80.754621	-0.3	1	0	
Dambulla	7.897869, 80.676554	0.3	3	3	
Kandy	7.290799, 80.633849	0.3	0	2	
Nuwara Eliya	6.954598, 80.778560	0.3	0	3	
Kandy	7.290799, 80.633849	-0.2	3	0	
Negombo	7.209881, 79.836525	0.3	0	0	
Colombo	6.926829, 79.863340	0.07	2	1	
Kuala Lumpur	3.141743, 101.678614	0.2	0	1	
Phuket	7.883361, 98.393287	0.2	0	1	
Kuala Lumpur	3.141743, 101.678614	0.1	2	1	
Sydney	-33.939914, 151.175287	0.3	2	0	
Canberra	-35.355434, 149.066050	0.0	2	0	
