Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.05	2	1	
Wellington	-41.279459, 174.773477	-0.1	2	0	
Napier	-39.494100, 176.909703	0.2	0	0	
Hastings	-39.637470, 176.830239	0.2	1	0	
Napier	-39.494100, 176.909703	0.3	3	0	
Gisborne	-38.662000, 177.998527	0.2	2	0	
Whakatane	-37.953555, 176.992548	0.2	2	0	
Rotorua	-38.134640, 176.248631	0.2	0	0	
Wai-O-Tapu	-38.358023, 176.369036	0.2	1	0	
Rotorua	-38.134640, 176.248631	0.2	3	0	
Orakei Korako	-38.474231, 176.143473	0.2	1	0	
Rotorua	-38.134640, 176.248631	0.2	3	0	
New Plymouth	-39.055648, 174.076055	0.3	0	0	Tulare and Pokeiti Gardens
Kaponga	-39.428993, 174.148884	0.3	1	0	Hollard Gardens
Dawson Falls	-39.324737, 174.107925	0.3	1	0	
New Plymouth	-39.055648, 174.076055	0.2	3	0	
Palmerston North	-40.346516, 175.619956	0.1	2	0	
Wellington	-41.279459, 174.773477	0.05	2	1	
Canberra	-35.355434, 149.066050	0.0	2	0	
