Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.05	2	1	
Doha, UAE	25.290416, 51.531860	0.1	2	1	
Edinburgh	55.953157, -3.188562	0.1	0	3	
Glasgow	55.863918, -4.251343	0.1	1	3	
Edinburgh	55.953157, -3.188562	-0.2	3	0	
Culross	56.055167, -3.629830	0.2	1	0	
Saint Andrews Cathedral	56.339909, -2.796704	0.3	1	0	
Glamis Castle	56.620160, -3.001649	-0.2	1	0	
Dunnottar Castle	56.945788, -2.197190	0.15	1	0	
Balmoral Castle	57.039694, -3.229086	0.15	1	0	
Crathes Castle	57.061699, -2.440116	-0.3	1	0	
Duff House	57.661639, -2.523295	0.2	1	0	
Chivas Regal Distillery	57.547029, -2.953901	0.1	1	0	
Nairn	57.586431, -3.868379	0.3	0	0	
Cawdor Castle	57.524298, -3.926562	0.2	1	0	
Culloden Battlefield	57.477876, -4.095464	0.3	1	0	
Clava Cairns	57.473488, -4.073103	0.2	1	0	
Nairn	57.586431, -3.868379	-0.2	3	0	
Urquhart Castle	57.324175, -4.441905	0.3	1	0	
Fort Augustus Locks	57.144926, -4.679411	0.3	1	0	
Nairn	57.586431, -3.868379	0.2	3	0	
Elgin Cathedral	57.650558, -3.306094	0.2	1	0	
Dallas Dhu Historic Distillery	57.589766, -3.614422	0.2	1	0	
Nairn	57.586431, -3.868379	0.3	3	0	
Johnstons of Elgin	57.651674, -3.299845	0.3	1	0	
Speyside Cooperage	57.482445, -3.181125	0.3	1	0	
Glenlivet Distillery	57.343532, -3.338401	0.3	1	0	
Nairn	57.586431, -3.868379	-0.15	3	0	
Inverewe Garden	57.768060, -5.599040	-0.3	1	0	
Applecross Pass	57.412503, -5.701474	-0.3	2	0	
Kyle of Lochalsh	57.282649, -5.714349	0.3	0	0	
Portree	57.412502, -6.195856	-0.3	1	0	
Staffin Road	57.684518, -6.309639	0.3	1	0	
Dunvegan Castle	57.448426, -6.590075	-0.15	1	0	
Plockton	57.340616, -5.649154	0.3	1	0	
Kyle of Lochalsh	57.282649, -5.714349	0.2	3	0	
Eilean Donan Castle	57.273913, -5.516159	-0.3	1	0	
Armadale	57.065012, -5.901569	0.3	2	4	
Mallaig	57.003854, -5.827111	0.2	2	0	
Glennfinnan Viaduct	56.876256, -5.431849	0.2	1	0	
Neptunes Staircase	56.846245, -5.094008	0.3	1	0	
Glencoe	56.664394, -4.948188	0.2	1	0	
Castle Stalker	56.571599, -5.386098	0.3	1	0	
Barcaldine Castle	56.510433, -5.401887	0.3	0	0	
Arduaine Garden	56.234749, -5.560989	0.3	1	0	
Kilmartin Glen	56.122198, -5.492675	0.3	1	0	
Crinan Canal	56.064868, -5.505724	-0.3	1	0	
Inverary Castle	56.237428, -5.073613	0.3	1	0	
Kilchurn Castle	56.403788, -5.027334	0.2	1	0	
Loch Lomond	56.111586, -4.628633	0.2	1	0	
Stirling	56.123760, -3.947385	0.3	0	0	Castle, Cathedral, Argyll's Lodging
Falkirk Wheel	56.000312, -3.841325	0.2	1	0	
Culzean Castle	55.354689, -4.789305	0.2	1	0	
Sweetheart Abbey and Corn Mill	54.980261, -3.619060	0.3	1	0	
Caerlaverock Castle	54.975659, -3.524051	0.3	1	0	
Grey Mare's Tail Waterfall	55.421586, -3.293152	-0.2	1	0	
Melrose Abbey	55.599085, -2.717892	0.3	1	0	
Dryburgh Abbey	55.577311, -2.649609	0.3	1	0	
Mellerstain House	55.644927, -2.560635	0.3	1	0	
Kelso Abbey	55.597245, -2.432464	0.3	1	0	
Jedbugh Abbey	55.476596, -2.554763	0.3	1	0	
Abbotsford House	55.599353, -2.782211	0.3	1	0	
Rosslyn Chapel	55.855378, -3.160183	0.3	1	0	
Edinburgh	55.953157, -3.188562	0.1	2	1	
Doha	25.290416, 51.531860	0.05	2	1	
Sydney	-33.939914, 151.175287	0.3	2	1	
Canberra	-35.355434, 149.066050	0.0	2	0	
