Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.268152, 149.129653"	-0.1	2	0	
Robinvale	"-34.594623, 142.775577"	-0.2	2	0	
Barossa Valley	"-34.531635, 138.950408"	0.3	0	0	
Adelaide	"-34.929229, 138.601187"	-0.3	0	0	
McLaren Vale	"-35.220305, 138.525714"	0.3	1	0	D’Arenberg Dali Exhibition
Hahndorf	"-35.028024, 138.805143"	-0.2	1	0	
Bordertown	"-36.337357, 140.959945"	0.3	2	0	
MacKenzie Falls	"-37.106700, 142.408221"	-0.3	1	0	
Reeds Lookout	"-37.143654, 142.448561"	-0.3	1	0	
Halls Gap	"-37.140786, 142.521390"	0.3	0	0	Grampians National Park
Boroka Lookout	"-37.121556, 142.502323"	-0.3	1	0	
Pinnacle Lookout	"-37.159662, 142.515294"	-0.3	1	0	
Lakeview Lookout	"-37.171974, 142.519414"	-0.3	1	0	
Halls Gap	"-37.140786, 142.521390"	0.3	3	0	Grampians National Park
James McMurtrie Glass	"-37.212725, 142.617175"	-0.2	1	0	
Kinglake	"-37.532513, 145.343591"	0.2	0	0	
Canberra	"-35.268152, 149.129653"	0.3	2	0	
